Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100800,Over-speeding,2947,West Bengal,2025-03-11,10:51,Bus,Blue,1998,Delhi,34,Male,Learner,0,Foggy,Slippery,OFF8586,RTO,Valid,5,No,,Green,40,84,0.49,Negative,Yes,Yes,Online,Yes,0,
VLT100801,Signal Jumping,3298,Uttar Pradesh,2025-03-12,08:10,Truck,Silver,2016,Karnataka,57,Other,Heavy Vehicle,1,Cloudy,Slippery,OFF4314,Traffic Police,Expired,5,Yes,Yes,Green,50,39,0.12,Negative,No,Yes,Not Paid,Yes,4,Repeat Offender
VLT100802,Driving Without License,388,Gujarat,2025-03-13,19:29,Scooter,Green,1997,Karnataka,20,Female,Four-Wheeler,9,Foggy,Wet,OFF2577,RTO,Expired,4,Yes,Yes,Red,30,35,0.31,Not Conducted,Yes,Yes,Online,Yes,1,First Violation
VLT100803,Using Mobile Phone,166,Gujarat,2025-03-14,01:51,Bus,Blue,2017,Gujarat,34,Male,Heavy Vehicle,10,Cloudy,Under Construction,OFF7679,Local Police,Valid,3,Yes,Yes,Green,60,120,0.28,Positive,No,No,Card,Yes,1,
VLT100804,Wrong Parking,3043,Gujarat,2025-03-15,11:24,Truck,Red,2009,Punjab,46,Other,Two-Wheeler,2,Rainy,Dry,OFF7087,Highway Patrol,Valid,4,No,No,Yellow,60,25,0.38,Negative,Yes,Yes,Cash,No,3,
VLT100805,Using Mobile Phone,2735,Uttar Pradesh,2025-03-16,23:09,Scooter,Yellow,2020,Maharashtra,69,Male,Commercial,2,Dust Storm,Dry,OFF3116,Traffic Police,Valid,3,,Yes,Green,30,28,0.18,Not Conducted,No,No,Not Paid,Yes,1,First Violation
VLT100806,Wrong Parking,4670,Punjab,2025-03-17,04:01,Car,Yellow,2009,Karnataka,73,Female,Two-Wheeler,10,Dust Storm,Dry,OFF8352,Highway Patrol,Valid,5,,No,Green,60,42,0.42,Negative,No,No,Card,Yes,3,First Violation
VLT100807,No Seatbelt,2925,Karnataka,2025-03-18,08:54,Truck,Grey,2022,Gujarat,28,Other,Two-Wheeler,0,Clear,Wet,OFF4815,RTO,Valid,2,,No,Green,50,116,0.22,Positive,Yes,Yes,Online,Yes,3,First Violation
VLT100808,Signal Jumping,2464,Punjab,2025-03-19,23:19,Auto Rickshaw,White,2013,Uttar Pradesh,64,Male,Learner,8,Dust Storm,Dry,OFF2689,Highway Patrol,Expired,3,No,No,Red,100,20,0.09,Negative,Yes,No,Card,No,5,Fine Paid On Spot
VLT100809,Overloading,442,Karnataka,2025-03-20,15:09,Bus,White,2023,Maharashtra,44,Other,Heavy Vehicle,2,Clear,Slippery,OFF1567,Local Police,Valid,4,No,Yes,Green,60,116,0.16,Positive,No,Yes,Online,No,1,
VLT100810,No Helmet,3844,Punjab,2025-03-21,02:49,Bus,Blue,2004,Punjab,55,Female,Four-Wheeler,8,Rainy,Potholes,OFF8590,Highway Patrol,Valid,5,,,Green,60,36,0.12,Negative,Yes,No,Online,No,5,
VLT100811,Signal Jumping,4556,Gujarat,2025-03-22,11:59,Scooter,White,2009,Tamil Nadu,33,Other,Heavy Vehicle,7,Rainy,Slippery,OFF1733,Local Police,Expired,5,,,Red,30,35,0.34,Positive,No,No,Not Paid,Yes,0,Repeat Offender
VLT100812,Using Mobile Phone,4134,West Bengal,2025-03-23,03:50,Bike,Silver,2023,Tamil Nadu,33,Female,Two-Wheeler,2,Rainy,Wet,OFF3281,Local Police,Expired,3,,,Red,60,102,0.1,Not Conducted,Yes,Yes,Online,No,1,Fine Paid On Spot
VLT100813,Driving Without License,795,Gujarat,2025-03-24,22:33,Bike,Silver,1995,Punjab,49,Male,Commercial,7,Clear,Under Construction,OFF2568,RTO,Expired,4,Yes,No,Green,30,115,0.5,Positive,Yes,Yes,Card,Yes,1,Fine Paid On Spot
VLT100814,Using Mobile Phone,2717,Uttar Pradesh,2025-03-25,22:52,Auto Rickshaw,Silver,2018,Punjab,70,Male,Commercial,1,Clear,Dry,OFF4121,RTO,Suspended,4,No,,Green,80,92,0.02,Not Conducted,Yes,No,Cash,Yes,2,Repeat Offender
VLT100815,Driving Without License,890,Delhi,2025-03-26,04:16,Bus,Green,2008,Karnataka,43,Male,Learner,2,Cloudy,Under Construction,OFF2240,Traffic Police,Expired,1,,Yes,Red,60,49,0.23,Not Conducted,No,Yes,Cash,Yes,0,
VLT100816,Signal Jumping,380,Gujarat,2025-03-27,20:45,Scooter,Black,2003,Gujarat,67,Female,Four-Wheeler,2,Foggy,Slippery,OFF6408,RTO,Valid,2,Yes,No,Red,60,59,0.31,Not Conducted,No,No,Card,No,4,Repeat Offender
VLT100817,No Helmet,713,Maharashtra,2025-03-28,15:14,Car,Blue,2006,Punjab,71,Other,Learner,9,Clear,Wet,OFF4753,Traffic Police,Expired,1,Yes,Yes,Green,60,29,0.03,Negative,Yes,No,Online,Yes,2,Repeat Offender
VLT100818,Drunk Driving,4294,Uttar Pradesh,2025-03-29,01:55,Truck,Red,2017,Delhi,70,Female,Four-Wheeler,8,Dust Storm,Under Construction,OFF2863,Local Police,Expired,1,Yes,No,Red,50,93,0.07,Positive,Yes,No,Online,No,2,
VLT100819,Using Mobile Phone,1525,Gujarat,2025-03-30,05:27,Truck,Black,1999,Maharashtra,41,Female,Learner,5,Foggy,Wet,OFF8910,Local Police,Expired,4,Yes,Yes,Yellow,30,55,0.45,Negative,Yes,Yes,Online,Yes,3,
VLT100820,Signal Jumping,4094,Punjab,2025-03-31,12:37,Truck,Red,2011,Tamil Nadu,67,Male,Commercial,8,Clear,Dry,OFF4746,Highway Patrol,Valid,2,,,Yellow,100,109,0.43,Not Conducted,Yes,No,Card,Yes,2,Repeat Offender
